rsi_long,rsi_short,allow_slope_or,atr_mult_stop,zone_pad_frac,zz_atr_mult,ext_pref,days,n,netR,pf,maxDD,win%
48,48,False,0.25,0.015,1.9,"('161', '127')",5,11,3.926787502995883,2.8950169226103717,-1.0171651998951639,72.72727272727273
48,50,False,0.25,0.012,1.7,"('127', '161')",5,11,3.8399681803758927,2.919984090187947,-1.0171651998951639,81.81818181818183
48,48,False,0.25,0.012,1.7,"('127', '161')",5,11,3.8399681803758927,2.919984090187947,-1.0171651998951639,81.81818181818183
50,50,False,0.3,0.012,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,50,False,0.3,0.015,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,50,False,0.3,0.018,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,48,False,0.3,0.012,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,48,False,0.3,0.015,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,48,False,0.3,0.018,1.9,"('161', '127')",5,9,3.8318346158148526,4.576871708337473,-1.0,77.77777777777779
50,50,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
50,50,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
50,50,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
50,48,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
50,48,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
50,48,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,50,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,50,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,50,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,48,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,48,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
52,48,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,50,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,50,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,50,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,48,False,0.3,0.012,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,48,False,0.3,0.015,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,48,False,0.3,0.018,2.1,"('161', '127')",5,8,3.8311897086822944,4.831189708682294,-1.0,87.5
48,50,False,0.3,0.012,1.7,"('127', '161')",5,11,3.796175029398613,2.898087514699306,-1.0262381434260424,81.81818181818183
48,48,False,0.3,0.012,1.7,"('127', '161')",5,11,3.796175029398613,2.898087514699306,-1.0262381434260424,81.81818181818183
48,50,False,0.3,0.018,1.7,"('161', '127')",5,10,3.746342813748655,2.8731714068743273,-1.0262381434260424,80.0
48,48,False,0.3,0.018,1.7,"('161', '127')",5,10,3.746342813748655,2.8731714068743273,-1.0262381434260424,80.0
48,50,False,0.2,0.012,1.9,"('161', '127')",5,11,3.729161355780775,2.7988585112731306,-1.2576772616668923,72.72727272727273
48,50,False,0.2,0.015,1.9,"('161', '127')",5,11,3.729161355780775,2.7988585112731306,-1.2576772616668923,72.72727272727273
48,48,False,0.2,0.012,1.9,"('161', '127')",5,11,3.729161355780775,2.7988585112731306,-1.2576772616668923,72.72727272727273
48,48,False,0.2,0.015,1.9,"('161', '127')",5,11,3.729161355780775,2.7988585112731306,-1.2576772616668923,72.72727272727273
48,50,False,0.25,0.015,1.7,"('127', '161')",5,11,3.7012857625109987,2.8506428812554994,-1.0171651998951639,81.81818181818183
48,48,False,0.25,0.015,1.7,"('127', '161')",5,11,3.7012857625109987,2.8506428812554994,-1.0171651998951639,81.81818181818183
52,50,False,0.3,0.012,1.7,"('161', '127')",5,8,3.691110351132325,4.691110351132325,-1.0,87.5
52,48,False,0.3,0.012,1.7,"('161', '127')",5,8,3.691110351132325,4.691110351132325,-1.0,87.5
